,index,age,gender,job_cat,housing,savings,checking,loan_amount,duration,purpose,risk,customer_loyalty
140,140,27,male,0,own,high,high,709.0,6,car,good,0.3755772908001522
141,141,30,female,3,own,low,moderate,4795.0,36,radio/TV,good,0.41348627770801255
142,142,27,male,3,own,low,low,3416.0,27,radio/TV,good,0.42243785825561886
143,143,22,male,2,own,low,low,2462.0,18,furniture/equipment,bad,0.3463111832872878
144,144,23,female,2,own,low,,2288.0,21,furniture/equipment,good,0.32509464036748326
145,145,30,male,2,own,moderate,moderate,3566.0,48,business,good,0.42003300733004173
146,146,39,female,2,own,low,low,860.0,6,car,good,0.5558076221689371
147,147,51,female,2,own,moderate,,682.0,12,car,good,0.6844560793024653
148,148,28,male,2,own,low,low,5371.0,36,furniture/equipment,good,0.41447911641313573
149,149,46,male,2,own,high,,1582.0,18,radio/TV,good,0.6962358169548991
150,150,42,male,2,free,moderate,,1346.0,6,radio/TV,good,0.6435484011192857
151,151,38,male,2,own,low,,1924.0,10,radio/TV,good,0.5556332497990197
152,152,24,male,2,own,low,high,5848.0,36,radio/TV,good,0.345141929302834
153,153,29,female,2,rent,high,moderate,7758.0,24,car,good,0.4561777024522523
154,154,36,male,3,rent,moderate,moderate,6967.0,24,business,good,0.5010731572616833
155,155,20,female,2,rent,low,low,1282.0,12,furniture/equipment,bad,0.34149207525382597
156,156,48,male,2,own,moderate,low,1288.0,9,repairs,good,0.6639855487348136
157,157,45,male,1,own,low,low,339.0,12,education,good,0.6488638632634047
158,158,38,male,2,own,moderate,moderate,3512.0,24,car,good,0.5616029679134447
159,159,34,male,1,own,,,1898.0,6,radio/TV,good,0.5085397849138807
160,160,36,male,2,own,moderate,,2872.0,24,radio/TV,good,0.5398592684338815
161,161,30,female,2,own,low,,1055.0,18,car,good,0.470301287341908
162,162,36,unknown,2,own,very_high,,1262.0,15,domestic appliances,good,0.4854095955147903
163,163,70,male,3,free,low,moderate,7308.0,10,car,good,1.0
164,164,36,male,2,own,very_high,,909.0,36,car,good,0.521560290666176
165,165,32,male,2,own,very_high,,2978.0,6,furniture/equipment,good,0.4713081039799185
166,166,33,female,2,own,low,low,1131.0,18,furniture/equipment,bad,0.5067824191182101
167,167,20,female,2,own,high,moderate,1577.0,11,furniture/equipment,good,0.332522985218889
168,168,25,female,2,rent,low,,3972.0,24,furniture/equipment,good,0.39732153734224135
169,169,31,male,2,own,low,moderate,1935.0,24,business,bad,0.5001048720893458
170,170,33,male,2,rent,low,low,950.0,15,car,bad,0.4790551610515548
171,171,26,female,2,own,low,,763.0,12,furniture/equipment,good,0.38399498835629864
172,172,34,female,3,own,low,moderate,2064.0,24,furniture/equipment,bad,0.5193893628108188
173,173,33,male,2,own,low,moderate,1414.0,8,radio/TV,good,0.5229048726651339
174,174,26,male,2,own,low,low,3414.0,21,education,bad,0.386500772173162
175,175,53,female,3,own,,,7485.0,30,car,bad,0.7544516239347515
176,176,,male,2,own,low,low,2577.0,12,furniture/equipment,good,0.5766751741049936
177,177,52,male,2,own,very_high,low,,6,radio/TV,good,0.7085124414676115
178,178,31,male,3,rent,low,,1963.0,12,radio/TV,good,0.4511767897624799
179,179,65,male,2,own,low,low,571.0,21,car,good,0.8956573543062588
180,180,,male,2,own,low,,9572.0,36,business,bad,0.4389882598747722
181,181,30,male,3,own,low,moderate,4455.0,36,business,bad,0.4349769643258072
182,182,40,male,1,own,,low,1647.0,21,car,bad,0.5760807494928183
183,183,50,male,2,own,high,,3777.0,24,furniture/equipment,good,0.6847123374303422
184,184,36,male,2,own,low,moderate,884.0,18,car,bad,0.5234372827646538
185,185,31,male,2,own,low,,1360.0,15,radio/TV,good,0.45093564760222205
186,186,74,female,3,free,low,moderate,5129.0,9,car,bad,1.0
187,187,68,male,0,free,low,moderate,1175.0,16,car,good,0.9644272334392199
188,188,20,male,2,own,moderate,low,674.0,12,radio/TV,bad,0.28844152814642887
189,189,33,female,2,own,low,moderate,3244.0,18,furniture/equipment,good,0.46159392778346997
190,190,54,male,3,own,high,,4591.0,24,business,bad,0.8059424346515599
191,191,34,male,1,free,moderate,moderate,3844.0,48,business,bad,0.49435651160158417
192,192,36,male,2,own,low,moderate,3915.0,27,business,bad,0.529100334030403
193,193,29,male,2,rent,low,,2108.0,6,radio/TV,good,0.4372433258368404
194,194,21,male,2,rent,moderate,moderate,,45,radio/TV,bad,0.3353854619548796
195,195,34,female,3,own,low,moderate,1501.0,9,education,bad,0.5144978481216897
196,196,28,female,2,own,low,,1382.0,6,radio/TV,good,0.3881669226475921
197,197,27,female,2,rent,moderate,moderate,951.0,12,furniture/equipment,bad,0.3661681766728844
198,198,36,male,2,free,,moderate,2760.0,24,car,good,0.5359801384218209
199,199,40,male,3,own,low,moderate,4297.0,18,furniture/equipment,bad,0.631031294674331
200,200,52,male,2,own,very_high,,936.0,9,education,good,0.7124877561995331
201,201,27,male,1,own,low,low,1168.0,12,car,good,0.37986302371280634
202,202,26,male,2,own,low,,5117.0,27,business,good,0.38276333005158236
203,203,21,male,2,rent,low,low,902.0,12,education,bad,0.2918127013683271
204,204,38,male,1,own,low,,1495.0,12,car,good,0.5243096790995136
205,205,38,male,3,free,low,low,10623.0,30,car,good,0.5752684257921493
206,206,43,male,2,own,low,,1935.0,12,furniture/equipment,good,0.6043866554135475
207,207,26,unknown,2,own,low,moderate,1424.0,12,domestic appliances,good,0.40472131558884367
208,208,21,male,1,own,low,low,6568.0,24,business,good,0.2843748296118048
209,209,55,male,2,own,high,,1413.0,12,car,good,0.7723218929648006
210,210,33,male,2,own,,,3074.0,9,radio/TV,good,0.5076827301261133
211,211,45,female,1,own,,,3835.0,36,radio/TV,good,0.6107499075985303
212,212,50,male,2,own,low,low,5293.0,27,business,bad,0.733885653221639
213,213,66,male,3,own,low,high,1908.0,30,business,bad,0.9588394580743427
214,214,51,male,2,own,,,3342.0,36,radio/TV,good,0.6856432415199372
215,215,39,female,1,own,,moderate,,6,education,good,0.5786492787765329
216,216,31,male,2,own,low,low,3104.0,18,business,good,0.5044246389541525
217,217,23,male,2,own,low,high,3913.0,36,radio/TV,good,0.3081242139184338
218,218,24,male,1,rent,low,low,3021.0,24,furniture/equipment,good,0.3957326543316282
219,219,64,female,2,own,low,,1364.0,10,car,good,0.8545686219289776
220,220,26,male,1,own,low,moderate,625.0,12,radio/TV,good,0.3662208483780311
221,221,23,female,2,rent,,low,1200.0,12,education,good,0.39450223670001616
222,222,30,male,2,own,low,,707.0,12,radio/TV,good,0.4387647991147471
223,223,32,male,2,own,,,2978.0,24,business,good,0.4976185018583345
224,224,30,male,2,own,low,,4657.0,15,car,good,0.4949397094078768
225,225,27,male,2,own,low,,2613.0,36,repairs,good,0.3887978612673552
226,226,27,male,2,own,high,moderate,10961.0,48,radio/TV,bad,0.3892702854091535
227,227,53,male,3,free,low,low,7865.0,12,furniture/equipment,bad,0.7673060929678234
228,228,22,male,2,own,low,,1478.0,9,radio/TV,bad,0.36351227985440615
229,229,22,male,2,free,low,low,3149.0,24,furniture/equipment,good,0.3414725177853664
230,230,26,male,2,own,low,high,4210.0,36,radio/TV,bad,0.4013670462097627
231,231,51,male,1,free,very_high,,2507.0,9,car,good,0.7368765961586051
232,232,35,male,2,own,moderate,,2141.0,12,radio/TV,good,0.5408091141959416
233,233,25,male,1,own,low,moderate,866.0,18,radio/TV,good,0.3889150831839815
234,234,42,male,1,own,low,,1544.0,4,radio/TV,good,0.6163032487233744
235,235,30,male,3,own,low,low,1823.0,24,radio/TV,bad,0.4633466256968156
236,236,23,male,0,own,,moderate,14555.0,6,car,bad,0.3940071578559655
237,237,61,male,1,rent,moderate,moderate,,21,business,bad,0.8181438297450266
238,238,35,female,2,own,low,,1291.0,12,radio/TV,good,0.5381466723388095
239,239,39,male,2,own,low,low,2522.0,30,radio/TV,good,0.5400264932752451
240,240,29,female,2,own,,low,915.0,24,car,bad,0.4446496404546889
241,241,51,male,2,own,low,,1595.0,6,radio/TV,good,0.6916261790237428
242,242,,male,2,free,low,low,4605.0,48,car,bad,0.37818064675157936
243,243,27,female,2,own,low,,1185.0,12,business,good,0.4234690125870217
244,244,35,female,1,own,very_high,,3447.0,12,education,good,0.5333560835954232
245,245,25,male,2,own,low,,1258.0,24,business,good,0.3809991668500478
246,246,52,male,2,own,low,,717.0,12,radio/TV,good,0.7631776454378095
247,247,35,male,2,rent,moderate,,1204.0,6,car,good,0.5138360890727753
248,248,26,male,2,own,low,high,1925.0,24,furniture/equipment,good,0.35172403430677507
249,249,22,female,2,rent,low,,433.0,18,radio/TV,bad,0.32758503939129663
250,250,39,female,1,own,high,low,666.0,6,car,good,0.5932680417241619
251,251,46,female,1,own,low,high,2251.0,12,furniture/equipment,good,0.6809296572556337
252,252,24,female,2,own,low,moderate,2150.0,30,car,bad,0.39999395970765156
253,253,,male,2,own,moderate,,4151.0,24,furniture/equipment,good,0.530897282107386
254,254,24,male,2,own,,moderate,,9,furniture/equipment,good,0.4096394920204976
255,255,27,male,1,own,,moderate,7418.0,60,radio/TV,good,0.3701937514471754
256,256,35,male,1,own,low,,2684.0,24,radio/TV,good,0.5171856015788456
257,257,29,male,2,free,low,low,2149.0,12,radio/TV,bad,0.4761666913423979
258,258,23,female,2,own,moderate,,3812.0,15,car,good,0.31754847151315685
259,259,57,female,1,own,moderate,,1154.0,11,radio/TV,good,0.7882399428637951
260,260,,male,2,own,low,low,1657.0,12,furniture/equipment,good,0.42915973226190657
261,261,55,female,2,own,low,low,1603.0,24,radio/TV,good,0.7383946245480654
262,262,36,male,3,free,low,low,5302.0,18,car,good,0.5000291172092084
263,263,57,female,1,free,low,,2748.0,12,education,good,0.8145016983977015
264,264,32,male,1,own,low,,1231.0,10,car,good,0.5091199296629372
265,265,37,male,2,own,low,moderate,802.0,15,radio/TV,bad,0.4989983248327854
266,266,36,male,2,own,,,6304.0,36,business,good,0.4950611547721668
267,267,38,female,2,own,low,,1533.0,24,radio/TV,good,0.582120523232891
268,268,45,male,3,own,low,low,8978.0,14,car,bad,0.6746791577013944
269,269,25,male,2,own,,,999.0,24,radio/TV,good,0.39395955768469415
270,270,32,male,2,own,,,2662.0,18,car,good,0.49854082575490094
271,271,37,female,2,rent,very_high,,1402.0,12,furniture/equipment,good,0.5463604280238958
272,272,36,male,3,free,,moderate,,48,car,good,0.5424056981224077
273,273,28,male,2,own,low,moderate,3060.0,48,radio/TV,bad,0.44549181069852334
274,274,34,male,1,own,low,low,11998.0,30,repairs,bad,0.494676817695135
275,275,32,male,2,own,low,,2697.0,9,radio/TV,good,0.5150854674051117
276,276,26,female,2,own,low,,2404.0,18,radio/TV,good,0.40248616802038
277,277,49,male,1,own,,low,1262.0,12,furniture/equipment,good,0.6722763760604303
278,278,32,female,2,own,low,,4611.0,6,furniture/equipment,bad,0.5146877424648082
279,279,29,male,3,rent,moderate,,1901.0,24,radio/TV,good,0.43476473748167466
280,280,23,male,2,rent,high,,3368.0,15,car,good,0.3132656070834434
281,281,50,male,2,own,low,,1574.0,12,furniture/equipment,good,0.7239446013309829
282,282,49,male,1,own,,high,1445.0,18,radio/TV,good,0.743458644585803
283,283,63,male,2,own,,,1520.0,15,furniture/equipment,good,0.8943587055416795
284,284,37,male,2,own,moderate,moderate,3878.0,24,car,good,0.5085913989090761
285,285,35,female,1,own,low,low,10722.0,47,car,good,0.5512017827476985
286,286,26,male,2,own,low,low,4788.0,48,car,good,0.41316381079188746
287,287,,male,3,free,moderate,moderate,7582.0,48,vacation/others,good,0.4609080170655134
288,288,49,female,2,own,low,moderate,1092.0,12,radio/TV,good,0.704040337912831
289,289,48,male,2,own,low,low,1024.0,24,radio/TV,bad,0.6597867622839184
290,290,26,male,2,own,low,,1076.0,12,business,good,0.4075309114328784
291,291,28,male,3,rent,low,moderate,9398.0,36,car,bad,0.4499766192607861
292,292,44,female,3,free,low,low,6419.0,24,car,good,0.6789253446199106
293,293,56,male,2,free,low,high,4796.0,42,car,good,0.8238780619676409
294,294,46,male,3,own,,,7629.0,48,business,good,0.6754788974847385
295,295,26,female,2,own,low,moderate,9960.0,48,furniture/equipment,bad,0.3783280390460124
296,296,20,female,2,rent,,,,12,car,good,0.3539467031865318
297,297,45,male,1,own,,,1287.0,10,car,good,0.619346587697232
298,298,43,male,2,own,low,,2515.0,18,furniture/equipment,good,0.6154408830975484
299,299,32,male,2,own,high,moderate,2745.0,21,furniture/equipment,good,0.4674034871298748
300,300,54,female,0,own,low,,672.0,6,car,good,0.7908281094981954
301,301,42,female,2,own,low,moderate,3804.0,36,radio/TV,bad,0.5663293462348948
302,302,37,male,1,own,,high,1344.0,24,car,bad,0.5064208047936093
303,303,49,male,2,own,low,low,1038.0,10,car,good,0.678044185768451
304,304,44,male,2,free,very_high,,10127.0,48,car,bad,0.6068939167651155
305,305,33,male,2,own,high,,1543.0,6,furniture/equipment,good,0.4476706404697002
306,306,24,female,1,rent,,,,30,car,good,0.36749748633787155
307,307,33,male,1,own,moderate,low,727.0,12,radio/TV,bad,0.444863342148432
308,308,24,female,2,own,low,moderate,1237.0,8,furniture/equipment,bad,0.40497836443656354
309,309,22,male,1,rent,low,moderate,276.0,9,car,good,0.3591323950350328
310,310,40,male,0,free,,moderate,5381.0,48,vacation/others,good,0.5837193859562871
311,311,25,male,2,own,moderate,,5511.0,24,furniture/equipment,good,0.3913739154843045
312,312,26,female,2,own,low,high,3749.0,24,furniture/equipment,good,0.4449924083820004
313,313,25,male,1,own,low,moderate,685.0,12,car,bad,0.3424763179534871
314,314,29,male,1,own,,high,1494.0,4,car,good,0.4039955964118123
315,315,31,male,2,own,low,low,2746.0,36,furniture/equipment,bad,0.45476538893189794
316,316,38,male,1,own,low,low,708.0,12,furniture/equipment,good,0.5650765205952515
317,317,48,female,1,own,,moderate,4351.0,24,furniture/equipment,good,0.6518090901983852
318,318,32,male,2,own,low,,701.0,12,education,good,0.4869643888841023
319,319,27,female,1,own,low,low,3643.0,15,furniture/equipment,good,0.38485491567400504
320,320,28,male,3,own,low,moderate,4249.0,30,car,bad,0.4136125771307831
321,321,32,male,2,own,low,low,1938.0,24,radio/TV,bad,0.44927561141780226
322,322,34,male,3,free,low,low,2910.0,24,car,good,0.4875702601622825
323,323,28,male,2,own,high,low,2659.0,18,furniture/equipment,good,0.4073825165412925
324,324,36,female,2,own,low,,1028.0,18,car,good,0.5703050295029728
325,325,39,male,1,own,low,low,3398.0,8,car,good,0.5833316130365617
326,326,49,male,2,rent,,,5801.0,12,furniture/equipment,good,0.7362750420441931
327,327,34,female,2,own,high,,1525.0,24,car,good,0.4740663269932911
328,328,31,male,2,own,low,high,4473.0,36,radio/TV,good,0.5071678700734834
329,329,28,male,2,own,low,moderate,1068.0,6,radio/TV,good,0.4022725505210184
330,330,75,male,3,free,low,low,6615.0,24,car,good,1.0
331,331,30,female,2,own,moderate,,1864.0,18,education,bad,0.4040160908362716
332,332,24,female,3,own,moderate,moderate,7408.0,60,car,bad,0.33273193025046705
333,333,24,female,1,rent,moderate,,11590.0,48,car,bad,0.33769086482143745
334,334,23,male,2,rent,low,low,,24,furniture/equipment,bad,0.3109807807891641
335,335,44,male,3,rent,low,low,3384.0,6,furniture/equipment,bad,0.6476950258280816
336,336,23,female,1,own,low,moderate,2101.0,13,radio/TV,good,0.4027012176171476
337,337,24,female,2,rent,,low,1275.0,15,domestic appliances,bad,0.3496990158268959
338,338,28,male,2,own,low,low,4169.0,24,furniture/equipment,good,0.39255032120317995
339,339,31,male,1,own,low,moderate,1521.0,10,furniture/equipment,good,0.47119860968651417
340,340,24,female,2,free,low,moderate,5743.0,24,education,good,0.40616450970867507
341,341,26,female,1,rent,low,low,3599.0,21,furniture/equipment,good,0.4243049623442952
342,342,25,male,2,rent,very_high,moderate,3213.0,18,radio/TV,good,0.40971345083696814
343,343,33,male,3,own,low,moderate,4439.0,18,business,good,0.5319805635987533
344,344,37,unknown,1,own,low,high,3949.0,10,car,good,0.5061757257643399
345,345,43,female,1,own,low,,1459.0,15,radio/TV,good,0.664130457799958
346,346,23,male,2,own,low,moderate,882.0,13,radio/TV,good,0.3763440642467025
347,347,23,female,0,rent,very_high,moderate,3758.0,24,radio/TV,good,0.3262211457265173
348,348,34,male,1,own,moderate,,1743.0,6,business,good,0.48352312721261553
349,349,32,male,2,free,high,moderate,,9,education,bad,0.452103280162008
350,350,23,female,2,rent,low,,1236.0,9,domestic appliances,good,0.39914117975055463
351,351,29,female,2,own,low,moderate,959.0,9,furniture/equipment,bad,0.4845212122190345
352,352,38,male,3,own,,,3229.0,18,car,good,0.5640333462301605
353,353,28,male,2,rent,low,low,6199.0,12,radio/TV,bad,0.42948565841892233
354,354,46,male,2,free,very_high,,727.0,10,education,good,0.6969283532450281
355,355,23,male,1,own,low,moderate,1246.0,24,car,bad,0.3357221270807795
356,356,49,male,2,own,,,2331.0,12,radio/TV,good,0.7235506557309872
